concept,dep_articles_de2,dep_articles_de3,dep_articles
Glide reflection,"['Orthogonal matrix', 'Orthonormal basis', 'Orientation character']","['Cartesian coordinate system', 'Angle', 'Isometry', 'Matrix (mathematics)', 'Reflection (mathematics)']","['Isometry', 'Angle', 'Orientation character', 'Reflection (mathematics)', 'Cartesian coordinate system', 'Orthogonal matrix', 'Orthonormal basis', 'Matrix (mathematics)']"
Radiometric dating,['Exponential decay'],"['Half-life', 'Radioactive decay', 'Isotopes of carbon', 'Exponential decay', 'Plant']","['Exponential decay', 'Plant', 'Half-life', 'Isotopes of carbon', 'Radioactive decay']"
Collatz conjecture,[],"['Eigenvalues and eigenvectors', 'Dynamical system', 'Trajectory', 'Diagonalizable matrix', '.example']","['Diagonalizable matrix', 'Dynamical system', 'Trajectory', '.example', 'Eigenvalues and eigenvectors']"
Parallelepiped,"['Cross product', 'Triple product', 'Orientation (geometry)', 'Sense', 'Volume']","['Euclidean vector', 'Parallelogram', 'Formula', 'Field extension', 'Determinant']","['Orientation (geometry)', 'Euclidean vector', 'Parallelogram', 'Determinant', 'Sense', 'Cross product', 'Field extension', 'Formula']"
Vacuum solution (general relativity),"['System of linear equations', 'Distance matrix']","['System of linear equations', 'Equation', 'Linear map', 'Linear system', 'Parametric equation']","['Linear map', 'Parametric equation', 'System of linear equations', 'Equation', 'Distance matrix', 'Linear system']"
Thompson sampling,['Correlation'],"['Variance', 'Arithmetic mean', 'Sample mean and covariance', 'Vector space', 'Statistics']","['Vector space', 'Correlation', 'Statistics', 'Arithmetic mean', 'Variance', 'Sample mean and covariance']"
Applied mathematics,"['Inverse problem', 'Moore–Penrose inverse']","['Matrix (mathematics)', 'Invertible matrix', 'Elementary matrix', 'Field extension', 'Coefficient matrix']","['Inverse problem', 'Coefficient matrix', 'Elementary matrix', 'Moore–Penrose inverse', 'Field extension', 'Matrix (mathematics)', 'Invertible matrix']"
Grover's algorithm,"['Inverse problem', 'Moore–Penrose inverse']","['Matrix (mathematics)', 'Invertible matrix', 'Elementary matrix', 'Field extension', 'Coefficient matrix']","['Inverse problem', 'Coefficient matrix', 'Elementary matrix', 'Moore–Penrose inverse', 'Field extension', 'Matrix (mathematics)', 'Invertible matrix']"
Triangulation,[],"['Orthogonal matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Triangular matrix', 'Pakistan Technical Assistance Programme']","['Pakistan Technical Assistance Programme', 'Orthogonal matrix', 'Triangular matrix', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Wronskian,['Vector space'],"['Matrix (mathematics)', 'Linear independence', 'Independence (probability theory)', 'Isomorphism', 'Vector space']","['Vector space', 'Linear independence', 'Independence (probability theory)', 'Isomorphism', 'Matrix (mathematics)']"
Graphene,['Crystal (mathematics)'],"['Crystal structure', 'Nuclear graphite', 'Atom', 'Angstrom', 'Chemical bond']","['Nuclear graphite', 'Angstrom', 'Atom', 'Crystal structure', 'Crystal (mathematics)', 'Chemical bond']"
Free module,[],"['Module (mathematics)', 'Vector space', 'Matrix (mathematics)', 'Linear independence', 'Linear combination']","['Matrix (mathematics)', 'Linear combination', 'Vector space', 'Module (mathematics)', 'Linear independence']"
Gödel's incompleteness theorems,[],"['Matrix (mathematics)', 'Variable (mathematics)', 'Symmetric matrix', 'Eigenvalues and eigenvectors', 'Congruence (geometry)']","['Symmetric matrix', 'Eigenvalues and eigenvectors', 'Variable (mathematics)', 'Matrix (mathematics)', 'Congruence (geometry)']"
Curvilinear coordinates,[],"['Cartesian coordinate system', 'Polar coordinate system', 'Geographical pole', 'Coordinate system', 'Euclidean vector']","['Polar coordinate system', 'Coordinate system', 'Geographical pole', 'Cartesian coordinate system', 'Euclidean vector']"
Elementary mathematics,"['System of linear equations', 'Distance matrix', 'Gaussian elimination', 'Elementary mathematics', 'List of named matrices']","['Elementary matrix', 'System of linear equations', 'Multiplication', 'Matrix (mathematics)', 'Equation']","['System of linear equations', 'Multiplication', 'Equation']"
Eccentricity (mathematics),"['Parabola', 'Apsis', 'Directrix']","['Conic section', 'Polar coordinate system', 'Orbital eccentricity', 'Real number', 'Fixed point (mathematics)']","['Fixed point (mathematics)', 'Polar coordinate system', 'Orbital eccentricity', 'Apsis', 'Real number', 'Parabola', 'Conic section', 'Directrix']"
Intermediate value theorem,[],"['Graph (discrete mathematics)', 'Cartesian coordinate system', 'Polynomial', 'Function (mathematics)', 'Continuous function']","['Function (mathematics)', 'Continuous function', 'Cartesian coordinate system', 'Polynomial', 'Graph (discrete mathematics)']"
Mathematical statistics,['Correlation'],"['Sample mean and covariance', 'Arithmetic mean', 'Matrix (mathematics)', 'Linear algebra', 'Invertible matrix']","['Correlation', 'Arithmetic mean', 'Linear algebra', 'Matrix (mathematics)', 'Invertible matrix', 'Sample mean and covariance']"
Spectrum (disambiguation),"['Orthogonal matrix', 'Eigenvalue algorithm', 'Orthogonal functions', 'Principal axis theorem']","['Eigenvalues and eigenvectors', 'Orthonormal basis', 'Mathematical proof', 'Orthogonal matrix', 'Symmetric matrix']","['Orthogonal functions', 'Symmetric matrix', 'Eigenvalue algorithm', 'Principal axis theorem', 'Orthogonal matrix', 'Orthonormal basis', 'Eigenvalues and eigenvectors', 'Mathematical proof']"
Parallel projection,"['Orthogonal matrix', 'Square root of a matrix', 'Transformation matrix']","['Matrix (mathematics)', 'Eigenvalues and eigenvectors', 'Theorem', 'Projection (linear algebra)', 'Row echelon form']","['Square root of a matrix', 'Theorem', 'Transformation matrix', 'Orthogonal matrix', 'Row echelon form', 'Matrix (mathematics)', 'Projection (linear algebra)', 'Eigenvalues and eigenvectors']"
Closed set,"['Vector space', 'Real number', 'Scalar multiplication', 'Vector (mathematics and physics)']","['Vector space', 'Scalar multiplication', 'Axiom', 'Euclidean vector', 'Matrix (mathematics)']","['Vector space', 'Euclidean vector', 'Vector (mathematics and physics)', 'Real number', 'Scalar multiplication', 'Matrix (mathematics)', 'Axiom']"
Vertical bar,[],"['Equation', 'Slope', 'Conic section', 'Formula', 'Linear equation']","['Formula', 'Conic section', 'Equation', 'Slope', 'Linear equation']"
Linear algebra,"['Linear independence', 'Eigenface', 'Eigenvalues and eigenvectors']","['Linear map', 'Matrix (mathematics)', 'Scalar (mathematics)', 'Euclidean vector', 'Vector space']","['Linear map', 'Vector space', 'Euclidean vector', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Similarity invariance,"['Mathematical proof', 'Triangular matrix', 'Eigendecomposition of a matrix', 'Eigenvalues and eigenvectors']","['Matrix (mathematics)', 'Characteristic polynomial', 'Polynomial', 'Eigenvalues and eigenvectors', 'Invariant (mathematics)']","['Matrix (mathematics)', 'Characteristic polynomial', 'Polynomial', 'Triangular matrix', 'Invariant (mathematics)', 'Eigendecomposition of a matrix', 'Eigenvalues and eigenvectors', 'Mathematical proof']"
Data compression,"['Affine transformation', 'Transformation (function)']","['Geometric transformation', 'Field extension', 'Graph (discrete mathematics)', 'Function (mathematics)', 'Slope']","['Function (mathematics)', 'Transformation (function)', 'Field extension', 'Geometric transformation', 'Affine transformation', 'Graph (discrete mathematics)', 'Slope']"
Display Stream Compression,[],"['Function (mathematics)', 'Data compression', 'Antenna (radio)', 'Graph (discrete mathematics)', 'Vertebral compression fracture']","['Function (mathematics)', 'Antenna (radio)', 'Data compression', 'Graph (discrete mathematics)', 'Vertebral compression fracture']"
Gamma matrices,"['Similarity (geometry)', 'Equivalence relation', 'Matrix similarity', 'Diagonal', 'Diagonal matrix']","['Matrix (mathematics)', 'Invertible matrix', 'If and only if', 'Eigenvalues and eigenvectors', 'Linear algebra']","['If and only if', 'Diagonal', 'Similarity (geometry)', 'Matrix (mathematics)', 'Invertible matrix']"
Formal proof,[],[],[]
Linear equation,"['System of linear equations', 'Determinant', 'Linear equation', 'Real number', 'Vector space']","['System of linear equations', 'Variable (mathematics)', 'Equation', 'Coefficient', 'Algebra']","['Algebra', 'Equation']"
Conjugate element (field theory),[],[],[]
Square root,"[""Horner's method"", 'Mathematics', 'Matrix norm', 'Product (mathematics)', 'Radical extension']","['Complex number', 'Eigenvalues and eigenvectors', 'Real number', 'Sign (mathematics)', 'Theorem']","['Theorem', 'Mathematics', ""Horner's method"", 'Real number', 'Sign (mathematics)', 'Product (mathematics)', 'Complex number', 'Matrix norm', 'Radical extension', 'Eigenvalues and eigenvectors']"
Constant-recursive sequence,['Recurrence plot'],"['Recurrence relation', 'Chemical formula', 'Sequence', 'Diagonalizable matrix', 'Field extension']","['Diagonalizable matrix', 'Recurrence plot', 'Sequence', 'Recurrence relation', 'Field extension', 'Chemical formula']"
Axiomatic system,[],[],[]
Transition kernel,['State-transition matrix'],"['Probability', 'Quantum state', 'Markov chain', 'Sovereign state', 'Theatre']","['Sovereign state', 'Theatre', 'Quantum state', 'State-transition matrix', 'Markov chain', 'Probability']"
Crystal (mathematics),"['Crystal (mathematics)', 'Field (mathematics)']","['Salt', 'Cube', 'Atom', 'Sodium chloride', 'Number']","['Salt', 'Field (mathematics)', 'Number', 'Sodium chloride', 'Atom', 'Cube']"
Low-rank approximation,[],"['System of linear equations', 'Orthogonal basis', 'Row echelon form', 'Matrix (mathematics)', 'Least squares']","['Least squares', 'System of linear equations', 'Row echelon form', 'Orthogonal basis', 'Matrix (mathematics)']"
Canonical normal form,[],"['Row echelon form', 'Matrix (mathematics)', 'Equivalence relation', 'Equivalence class', 'Gaussian elimination']","['Equivalence relation', 'Row echelon form', 'Equivalence class', 'Matrix (mathematics)', 'Gaussian elimination']"
Chemistry,"['Linear equation', 'System of linear equations']","['System of linear equations', 'Mass', 'TNT', 'Science', 'Linear equation']","['Mass', 'TNT', 'System of linear equations', 'Science', 'Linear equation']"
George Dantzig,['Input–output model'],"['Triangular matrix', 'Exercise', 'Hint (musician)', 'Matrix (mathematics)', 'Unicode block']","['Input–output model', 'Unicode block', 'Triangular matrix', 'Hint (musician)', 'Matrix (mathematics)', 'Exercise']"
Root of unity,['Triangular matrix'],"['Nth root', 'Square root', 'Field extension', 'Computer science', 'Eigenvalues and eigenvectors']","['Square root', 'Computer science', 'Nth root', 'Triangular matrix', 'Field extension', 'Eigenvalues and eigenvectors']"
Eigenface,"['Eigenvalues and eigenvectors', 'Characteristic polynomial', 'Eigenvalue algorithm', 'Eigenvector centrality', 'Invariant (mathematics)']","['Eigenvalues and eigenvectors', 'Matrix (mathematics)', 'Vector space', 'Scalar (mathematics)', 'Invariant (mathematics)']","['Vector space', 'Invariant (mathematics)', 'Eigenvector centrality', 'Matrix (mathematics)', 'Scalar (mathematics)']"
Addition principle,[],"['Counting problem (complexity)', 'Swing music', 'Probability theory', 'Addition', 'Permutation']","['Addition', 'Permutation', 'Counting problem (complexity)', 'Probability theory', 'Swing music']"
Support (mathematics),"['Linear subspace', 'Vector (mathematics and physics)', 'Vector space']","['Vector space', 'Scalar multiplication', 'Axiom', 'Linear subspace', 'Zero element']","['Vector space', 'Linear subspace', 'Vector (mathematics and physics)', 'Zero element', 'Scalar multiplication', 'Axiom']"
Cardinality,[],[],[]
Stationary point,[],"['Coordinate system', 'Euclidean vector', 'Coefficient', 'Point (geometry)', 'Linear subspace']","['Coordinate system', 'Euclidean vector', 'Linear subspace', 'Coefficient', 'Point (geometry)']"
Weighing matrix,"['Matrix (mathematics)', 'Triangular matrix']","['Matrix (mathematics)', 'System of linear equations', 'Geometry', 'Column', 'Mathematics']","['Mathematics', 'Geometry', 'System of linear equations', 'Triangular matrix', 'Column', 'Matrix (mathematics)']"
Hilbert projection theorem,[],"['Euclidean vector', 'Orthogonality', 'Projection (linear algebra)', 'Vector space', 'System of linear equations']","['Vector space', 'Euclidean vector', 'System of linear equations', 'Orthogonality', 'Projection (linear algebra)']"
Magnitude (mathematics),"['Euclidean vector', 'Vector (mathematics and physics)', 'Function (mathematics)', 'Geometric algebra', 'Geometric series']","['Euclidean vector', 'Absolute value', 'Geometry', 'Square root', 'Real number']","['Function (mathematics)', 'Square root', 'Geometry', 'Absolute value', 'Real number', 'Geometric algebra']"
Real number,"['System of linear equations', 'Exponential function', 'Split-complex number', 'Linear equation', 'Vector space']","['System of linear equations', 'Number line', 'Equation', 'Cartesian coordinate system', 'Complex number']",[]
Imaginary unit,"['Complex number', 'Absolute value', 'Differentiable function', 'Differential equation', 'Number']","['Complex number', 'Real number', 'Mathematics', 'Field extension', 'Algebra']","['Mathematics', 'Differential equation', 'Algebra', 'Real number', 'Complex number', 'Field extension', 'Differentiable function']"
Degeneracy (mathematics),['Matrix (mathematics)'],"['Vector space', 'Inner product space', 'Matrix (mathematics)', 'Orthonormal basis', 'I, I']","['I, I', 'Vector space', 'Inner product space', 'Matrix (mathematics)', 'Orthonormal basis']"
Computational complexity of matrix multiplication,['Matrix multiplication'],"['Matrix multiplication', 'Column', 'Row and column vectors', 'Euclidean vector', 'Lincoln Near-Earth Asteroid Research']","['Matrix multiplication', 'Euclidean vector', 'Lincoln Near-Earth Asteroid Research', 'Column', 'Row and column vectors']"
Conjugacy class,['Jordan normal form'],"['Vector space', 'Matrix (mathematics)', 'Jordan normal form', 'Invariant (mathematics)', 'Eigenvalues and eigenvectors']","['Vector space', 'Jordan normal form', 'Invariant (mathematics)', 'Matrix (mathematics)', 'Eigenvalues and eigenvectors']"
Vanish at infinity,['Projective geometry'],"['Euclidean geometry', 'Plane (geometry)', 'Projective geometry', 'Projective plane', 'Equator']","['Euclidean geometry', 'Equator', 'Projective plane', 'Projective geometry', 'Plane (geometry)']"
2D computer graphics,[],"['Rotation', 'Matrix (mathematics)', 'Exercise', 'Euclidean vector', 'Coordinate vector']","['Euclidean vector', 'Coordinate vector', 'Rotation', 'Matrix (mathematics)', 'Exercise']"
